Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted
548,9.000000000000015e-06,0.358,0.355
549,9.000000000000015e-06,0.369,0.366
550,9.000000000000015e-06,0.376,0.373
551,0.015375999999999999,0.297,0.421
552,0.015375999999999999,0.3,0.424
553,9.000000000000015e-06,0.368,0.365
554,0.015375999999999999,0.303,0.427
555,9.000000000000015e-06,0.365,0.362
556,0.015375999999999999,0.302,0.426
557,9.000000000000015e-06,0.377,0.374
558,0.015375999999999999,0.305,0.429
559,0.015375999999999999,0.306,0.43
560,0.015375999999999999,0.297,0.421
561,0.015375999999999999,0.298,0.422
562,9.000000000000015e-06,0.372,0.369
563,9.000000000000015e-06,0.37,0.367
564,9.000000000000015e-06,0.373,0.37
565,0.015375999999999999,0.302,0.426
566,9.000000000000015e-06,0.367,0.364
567,0.015375999999999999,0.304,0.428
568,0.015375999999999999,0.293,0.417
569,9.000000000000015e-06,0.373,0.37
570,0.015375999999999999,0.303,0.427
571,9.000000000000015e-06,0.368,0.365
572,0.015375999999999999,0.303,0.427
573,9.000000000000015e-06,0.366,0.363
574,0.015375999999999999,0.295,0.419
575,9.000000000000015e-06,0.371,0.368
576,9.000000000000015e-06,0.362,0.359
577,0.015375999999999999,0.304,0.428
578,9.000000000000015e-06,0.379,0.376
579,9.000000000000015e-06,0.375,0.372
580,0.015375999999999999,0.297,0.421
581,9.000000000000015e-06,0.372,0.369
582,9.000000000000015e-06,0.369,0.366
583,9.000000000000015e-06,0.372,0.369
584,0.015375999999999999,0.302,0.426
585,9.000000000000015e-06,0.374,0.371
586,0.015375999999999999,0.304,0.428
587,9.000000000000015e-06,0.374,0.371
588,9.000000000000015e-06,0.365,0.362
589,0.015375999999999999,0.299,0.423
590,0.015375999999999999,0.302,0.426
591,9.000000000000015e-06,0.363,0.36
592,9.000000000000015e-06,0.374,0.371
593,9.000000000000015e-06,0.363,0.36
594,0.015375999999999999,0.305,0.429
595,9.000000000000015e-06,0.377,0.374
596,9.000000000000015e-06,0.37,0.367
597,9.000000000000015e-06,0.377,0.374
598,9.000000000000015e-06,0.374,0.371
599,0.015375999999999999,0.3,0.424
600,0.015375999999999999,0.298,0.422
601,9.000000000000015e-06,0.349,0.346
602,0.015375999999999999,0.297,0.421
603,0.015375999999999999,0.306,0.43
604,0.015375999999999999,0.296,0.42
605,0.015375999999999999,0.302,0.426
606,9.000000000000015e-06,0.354,0.351
607,9.000000000000015e-06,0.363,0.36
608,9.000000000000015e-06,0.356,0.353
609,9.000000000000015e-06,0.364,0.361
610,0.015375999999999999,0.288,0.412
611,0.015375999999999999,0.3,0.424
612,9.000000000000015e-06,0.37,0.367
613,9.000000000000015e-06,0.36,0.357
614,0.016899999999999988,0.411,0.281
615,0.015375999999999999,0.295,0.419
616,9.000000000000015e-06,0.368,0.365
617,0.015375999999999999,0.304,0.428
618,9.000000000000015e-06,0.366,0.363
619,0.015375999999999999,0.305,0.429
620,9.000000000000015e-06,0.371,0.368
621,9.000000000000015e-06,0.376,0.373
622,9.000000000000015e-06,0.371,0.368
623,9.000000000000015e-06,0.371,0.368
624,9.000000000000015e-06,0.374,0.371
625,9.000000000000015e-06,0.374,0.371
626,9.000000000000015e-06,0.36,0.357
627,9.000000000000015e-06,0.37,0.367
628,0.015375999999999999,0.297,0.421
629,9.000000000000015e-06,0.364,0.361
630,9.000000000000015e-06,0.368,0.365
631,0.015375999999999999,0.296,0.42
632,0.015375999999999999,0.294,0.418
633,9.000000000000015e-06,0.374,0.371
634,0.015375999999999999,0.304,0.428
635,0.015375999999999999,0.303,0.427
636,9.000000000000015e-06,0.362,0.359
637,0.015375999999999999,0.296,0.42
638,0.015375999999999999,0.296,0.42
639,0.015375999999999999,0.301,0.425
640,9.000000000000015e-06,0.349,0.346
641,9.000000000000015e-06,0.354,0.351
642,9.000000000000015e-06,0.378,0.375
643,0.015375999999999999,0.3,0.424
644,0.015375999999999999,0.301,0.425
645,0.015375999999999999,0.303,0.427
646,9.000000000000015e-06,0.373,0.37
647,9.000000000000015e-06,0.364,0.361
648,9.000000000000015e-06,0.351,0.348
649,0.015375999999999999,0.303,0.427
650,0.015375999999999999,0.303,0.427
651,0.015375999999999999,0.297,0.421
652,0.015375999999999999,0.305,0.429
653,9.000000000000015e-06,0.371,0.368
654,0.015375999999999999,0.306,0.43
655,9.000000000000015e-06,0.37,0.367
656,9.000000000000015e-06,0.362,0.359
657,9.000000000000015e-06,0.372,0.369
658,0.015375999999999999,0.305,0.429
659,0.015375999999999999,0.305,0.429
660,0.015375999999999999,0.306,0.43
661,9.000000000000015e-06,0.373,0.37
662,9.000000000000015e-06,0.371,0.368
663,0.015375999999999999,0.307,0.431
664,9.000000000000015e-06,0.364,0.361
665,9.000000000000015e-06,0.369,0.366
666,0.015375999999999999,0.304,0.428
667,9.000000000000015e-06,0.368,0.365
668,9.000000000000015e-06,0.374,0.371
669,9.000000000000015e-06,0.373,0.37
670,9.000000000000015e-06,0.375,0.372
671,9.000000000000015e-06,0.359,0.356
672,9.000000000000015e-06,0.375,0.372
673,0.015375999999999999,0.299,0.423
674,9.000000000000015e-06,0.359,0.356
675,9.000000000000015e-06,0.363,0.36
676,9.000000000000015e-06,0.363,0.36
677,9.000000000000015e-06,0.373,0.37
678,9.000000000000015e-06,0.367,0.364
679,9.000000000000015e-06,0.363,0.36
680,0.015375999999999999,0.299,0.423
681,9.000000000000015e-06,0.349,0.346
682,9.000000000000015e-06,0.37,0.367
683,0.015375999999999999,0.305,0.429
684,9.000000000000015e-06,0.378,0.375
685,9.000000000000015e-06,0.354,0.351
686,0.015375999999999999,0.307,0.431
687,0.015375999999999999,0.302,0.426
688,9.000000000000015e-06,0.37,0.367
689,9.000000000000015e-06,0.367,0.364
690,0.015375999999999999,0.305,0.429
691,0.015375999999999999,0.302,0.426
692,9.000000000000015e-06,0.367,0.364
693,9.000000000000015e-06,0.364,0.361
694,9.000000000000015e-06,0.371,0.368
695,0.015375999999999999,0.287,0.411
696,9.000000000000015e-06,0.378,0.375
697,9.000000000000015e-06,0.371,0.368
