Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted,Party 2_Wasted,Party 3_Wasted
490,0.34092,0.368,0.239,0.036,0.017
491,0.3429709999999999,0.367,0.245,0.036,0.017
492,0.30665899999999996,0.307,0.299,0.036,0.017
493,0.293411,0.298,0.296,0.036,0.017
494,0.31241899999999995,0.241,0.349,0.036,0.017
495,0.308747,0.304,0.304,0.036,0.017
496,0.311003,0.307,0.303,0.036,0.017
497,0.334472,0.364,0.239,0.036,0.017
498,0.32969899999999996,0.361,0.239,0.036,0.017
499,0.34272299999999994,0.368,0.242,0.036,0.017
500,0.33227599999999996,0.363,0.238,0.036,0.017
501,0.31321099999999996,0.307,0.305,0.036,0.017
502,0.299939,0.301,0.299,0.036,0.017
503,0.31241899999999995,0.241,0.349,0.036,0.017
504,0.321995,0.358,0.234,0.036,0.017
505,0.31241899999999995,0.241,0.349,0.036,0.017
506,0.30104400000000003,0.302,0.299,0.036,0.017
507,0.295963,0.305,0.291,0.036,0.017
508,0.32691599999999993,0.36,0.237,0.036,0.017
509,0.307736,0.307,0.3,0.036,0.017
510,0.309956,0.308,0.301,0.036,0.017
511,0.308819,0.307,0.301,0.036,0.017
512,0.354979,0.374,0.246,0.036,0.017
513,0.31442,0.31,0.303,0.036,0.017
514,0.320075,0.313,0.305,0.036,0.017
515,0.299939,0.301,0.299,0.036,0.017
516,0.309876,0.306,0.303,0.036,0.017
517,0.30547599999999997,0.305,0.3,0.036,0.017
518,0.31442,0.31,0.303,0.036,0.017
519,0.293603,0.302,0.292,0.036,0.017
520,0.30107599999999995,0.303,0.298,0.036,0.017
521,0.307736,0.307,0.3,0.036,0.017
522,0.312088,0.306,0.305,0.036,0.017
523,0.299939,0.301,0.299,0.036,0.017
524,0.35253899999999994,0.374,0.242,0.036,0.017
525,0.31306399999999995,0.242,0.349,0.036,0.017
526,0.298856,0.301,0.298,0.036,0.017
527,0.330515,0.363,0.235,0.036,0.017
528,0.315571,0.311,0.303,0.036,0.017
529,0.30104400000000003,0.302,0.299,0.036,0.017
530,0.304323,0.302,0.302,0.036,0.017
531,0.327779,0.359,0.241,0.036,0.017
532,0.305444,0.304,0.301,0.036,0.017
533,0.301028,0.301,0.3,0.036,0.017
534,0.309956,0.308,0.301,0.036,0.017
535,0.30332,0.305,0.298,0.036,0.017
536,0.32751499999999995,0.36,0.238,0.036,0.017
537,0.308875,0.308,0.3,0.036,0.017
538,0.291755,0.304,0.288,0.036,0.017
539,0.340739,0.366,0.244,0.036,0.017
540,0.315515,0.31,0.304,0.036,0.017
541,0.311043,0.308,0.302,0.036,0.017
542,0.31213599999999997,0.308,0.303,0.036,0.017
543,0.33189099999999994,0.362,0.24,0.036,0.017
544,0.327768,0.362,0.233,0.036,0.017
545,0.316568,0.308,0.307,0.036,0.017
546,0.32811999999999997,0.36,0.239,0.036,0.017
547,0.31218399999999996,0.309,0.302,0.036,0.017
548,0.29448799999999997,0.298,0.297,0.036,0.017
549,0.314372,0.309,0.304,0.036,0.017
550,0.294728,0.303,0.292,0.036,0.017
551,0.30102799999999996,0.3,0.301,0.036,0.017
552,0.309908,0.307,0.302,0.036,0.017
553,0.335684,0.364,0.241,0.036,0.017
554,0.345572,0.369,0.244,0.036,0.017
555,0.34151499999999996,0.368,0.24,0.036,0.017
556,0.295699,0.302,0.294,0.036,0.017
557,0.30000299999999996,0.303,0.297,0.036,0.017
558,0.35107599999999994,0.372,0.245,0.036,0.017
559,0.31327499999999997,0.309,0.303,0.036,0.017
560,0.33259500000000003,0.365,0.233,0.036,0.017
561,0.297747,0.299,0.299,0.036,0.017
562,0.34333600000000003,0.368,0.243,0.036,0.017
563,0.294824,0.304,0.291,0.036,0.017
564,0.311003,0.307,0.303,0.036,0.017
565,0.295699,0.302,0.294,0.036,0.017
566,0.29777899999999996,0.301,0.297,0.036,0.017
567,0.34313999999999995,0.369,0.24,0.036,0.017
568,0.297819,0.302,0.296,0.036,0.017
569,0.293795,0.304,0.29,0.036,0.017
570,0.31241899999999995,0.241,0.349,0.036,0.017
571,0.29883999999999994,0.3,0.299,0.036,0.017
572,0.30768799999999996,0.306,0.301,0.036,0.017
573,0.328772,0.364,0.229,0.036,0.017
574,0.318868,0.311,0.306,0.036,0.017
575,0.29144299999999995,0.301,0.291,0.036,0.017
576,0.325672,0.314,0.309,0.036,0.017
577,0.32317099999999993,0.358,0.236,0.036,0.017
578,0.31241899999999995,0.241,0.349,0.036,0.017
579,0.32873099999999994,0.36,0.24,0.036,0.017
580,0.34418,0.37,0.239,0.036,0.017
581,0.30225099999999994,0.305,0.297,0.036,0.017
582,0.315515,0.31,0.304,0.036,0.017
583,0.291251,0.297,0.295,0.036,0.017
584,0.30000299999999996,0.303,0.297,0.036,0.017
585,0.32573599999999997,0.36,0.235,0.036,0.017
586,0.30112399999999995,0.304,0.297,0.036,0.017
587,0.3398959999999999,0.367,0.24,0.036,0.017
588,0.33109599999999995,0.363,0.236,0.036,0.017
589,0.29153100000000004,0.302,0.29,0.036,0.017
590,0.32909599999999994,0.361,0.238,0.036,0.017
591,0.345971,0.37,0.242,0.036,0.017
592,0.297819,0.302,0.296,0.036,0.017
593,0.31241899999999995,0.241,0.349,0.036,0.017
594,0.309876,0.306,0.303,0.036,0.017
595,0.298888,0.302,0.297,0.036,0.017
596,0.29787499999999995,0.303,0.295,0.036,0.017
597,0.34373899999999996,0.369,0.241,0.036,0.017
598,0.29234,0.298,0.295,0.036,0.017
599,0.312104,0.307,0.304,0.036,0.017
600,0.327956,0.315,0.31,0.036,0.017
601,0.309908,0.307,0.302,0.036,0.017
602,0.295643,0.301,0.295,0.036,0.017
603,0.295571,0.298,0.298,0.036,0.017
604,0.29493600000000003,0.305,0.29,0.036,0.017
605,0.345572,0.369,0.244,0.036,0.017
606,0.31241899999999995,0.241,0.349,0.036,0.017
607,0.30332,0.305,0.298,0.036,0.017
608,0.303272,0.304,0.299,0.036,0.017
609,0.320019,0.312,0.306,0.036,0.017
610,0.302155,0.303,0.299,0.036,0.017
611,0.304395,0.305,0.299,0.036,0.017
612,0.31241899999999995,0.241,0.349,0.036,0.017
613,0.34360399999999997,0.367,0.246,0.036,0.017
614,0.351699,0.372,0.246,0.036,0.017
